root@pi3:/backup/ada/STM32/L/L476/sensortile/doc# /SShare/scan.py
Scan finds: 'MkAda S' addr: fa:ce:fe:ed:27:24
Connecting...
MkAda S
(41530, 8, -4, 1003, -7, -30, 9, -54, -126, 6)
(41536, 7, -3, 1004, -7, -31, 9, -62, -132, -5)
(41542, 8, -5, 1004, -7, -31, 8, -54, -125, -3)
(41548, 6, -4, 1005, -7, -30, 9, -53, -126, 2)
(41555, 8, -4, 1004, -7, -31, 9, -60, -128, 6)
(41561, 7, -3, 1003, -7, -31, 9, -54, -122, 5)
(41567, 7, -3, 1003, -7, -30, 9, -51, -122, 5)
(41573, 6, -3, 1002, -7, -30, 9, -50, -123, 6)
(41580, 24, 4, 1000, -7, -30, 9, -42, -120, -3)
(41586, 50, -45, 1002, 18, 5, 1162, -63, -123, 8)
(41592, 119, 78, 1012, -183, 278, -515, -56, -113, -5)
(41598, -23, -47, 1012, -14, 123, -173, -56, -101, 2)
(41605, 45, 13, 1026, -30, 1337, -224, -53, -95, 8)
(41611, -220, -184, 777, 297, 9269, -1511, -56, 24, 56)
(41617, -596, 114, 803, 93, 4944, -261, -60, 146, 164)
(41623, -853, -7, 509, -111, 2392, 12, -56, 192, 234)
(41630, -871, -43, 351, -422, 2040, 151, -63, 216, 296)
(41636, -782, -194, -161, 395, 5200, -158, -68, 228, 404)
(41642, -1067, 123, 161, 965, 1915, 357, -62, 216, 476)
(41648, -1028, 3, 35, 422, -1960, 3, -53, 221, 452)
(41655, -992, -86, 89, 348, 244, 0, -68, 218, 423)
(41661, -1026, 61, 95, 76, 125, -19, -63, 222, 419)
(41667, -997, -25, 64, -8, -30, 10, -62, 225, 423)
(41673, -995, -25, 62, -8, -30, 9, -57, 218, 423)
(41680, -997, -25, 60, -8, -31, 9, -71, 218, 425)
...
